54	BURLINGTON	BURLINGTON HS	10	10	0	0	0	0	0	0	5	5	0	36.9016	-98.4227
55	BURNS FLAT-DILL CITY	BURNS FLAT-DILL CITY HS	38	25	7	2	2	2	0	0	21	17	0	35.3484	-99.1708
56	BUTNER	BUTNER HS	22	7	0	7	4	0	0	4	14	8	0	35.338	-96.459
57	BYNG	BYNG HS	74	43	2	25	2	0	0	2	28	46	0	34.8609	-96.6621
58	CACHE	CACHE HS	83	49	13	10	7	0	0	4	34	49	0	34.6231	-98.6249
59	CADDO	CADDO HS	48	31	4	13	0	0	0	0	27	21	0	34.1213	-96.2711
60	CALERA	CALERA HS	52	28	4	16	0	2	0	2	26	26	0	33.9365	-96.4293
61	CALUMET	CALUMET HS	14	10	0	4	0	0	0	0	7	7	0	35.6012	-98.1211
62	CALVIN	CALVIN HS	4	4	0	0	0	0	0	0	2	2	0	34.9659	-96.2459
63	CANADIAN	CANADIAN HS	20	10	0	10	0	0	0	0	10	10	0	35.1714	-95.6567
64	CANEY	CANEY HS	25	10	2	13	0	0	0	0	13	12	2	34.2356	-96.2116
65	CANEY VALLEY	CANEY VALLEY HS	37	22	0	13	0	2	0	0	24	13	2	36.5325	-95.9248
66	CANTON	CANTON HS	17	13	0	4	0	0	0	0	7	10	0	36.049	-98.5871
67	CANUTE	CANUTE HS	19	13	2	4	0	0	0	0	10	9	0	35.4178	-99.2821
68	CARNEGIE	CARNEGIE HS	35	16	4	13	0	0	0	2	18	17	0	35.1027	-98.6034
69	CARNEY	CARNEY HS	8	4	0	4	0	0	0	0	4	4	0	35.8045	-97.0127
70	CASHION	CASHION HS	29	25	2	0	0	0	0	2	11	18	0	35.8012	-97.6772
71	CATOOSA	CATOOSA HS	129	67	13	43	2	4	0	0	70	59	0	36.1689	-95.7556
72	CAVE SPRINGS	CAVE SPRINGS HS	14	4	0	10	0	0	0	0	7	7	7	35.7179	-94.7512
73	CEMENT	CEMENT HS	14	10	2	2	0	0	0	0	5	9	0	34.9308	-98.1396
74	CENTRAL	CENTRAL HS	27	10	0	10	0	0	0	7	12	15	0	35.4485	-94.7072
75	CENTRAL HIGH	CENTRAL HIGH HS	31	25	2	2	2	0	0	0	15	16	0	34.6079	-98.0932
76	CHANDLER	CHANDLER HS	38	28	2	4	4	0	0	0	21	17	0	35.7052	-96.8825
77	CHATTANOOGA	CHATTANOOGA HS	20	16	0	4	0	0	0	0	10	10	0	34.424	-98.6564
78	CHECOTAH	CHECOTAH HS	126	61	0	61	4	0	0	0	63	63	0	35.4707	-95.5376
79	CHELSEA	CHELSEA HS	64	16	0	46	0	0	0	2	36	28	0	36.5397	-95.4395
80	CHEROKEE	CHEROKEE HS	4	4	0	0	0	0	0	0	2	2	0	36.753	-98.3525
81	CHEYENNE	CHEYENNE HS	16	16	0	0	0	0	0	0	5	11	0	35.6082	-99.6658
82	CHICKASHA	CHICKASHA HS	90	52	13	10	7	4	0	4	39	51	0	35.0512	-97.9566
83	CHISHOLM	CHISHOLM HS	59	55	0	2	0	0	2	0	27	32	0	36.4643	-97.9276
84	CHOCTAW-NICOMA PARK	CHOCTAW HS	250	175	16	34	10	2	0	13	121	129	0	35.4779	-97.2793
85	CHOUTEAU-MAZIE	CHOUTEAU-MAZIE HS	53	31	0	16	2	0	0	4	27	26	0	36.1926	-95.345
86	CIMARRON	CIMARRON HS	21	19	2	0	0	0	0	0	10	11	0	36.3867	-98.0898
87	CLAREMORE	CLAREMORE HS	204	124	16	55	2	7	0	0	103	101	2	36.3291	-95.6066
88	CLAYTON	CLAYTON HS	23	10	0	13	0	0	0	0	16	7	0	34.5908	-95.366
89	CLEVELAND	CLEVELAND HS	97	70	4	13	4	2	0	4	51	46	0	36.3143	-96.4752
90	CLINTON	CLINTON HS	83	43	25	7	4	4	0	0	43	40	25	35.5037	-98.9839
91	COALGATE	COALGATE HS	31	16	2	13	0	0	0	0	18	13	0	34.5344	-96.2196
92	COLBERT	COLBERT HS	58	25	0	31	2	0	0	0	28	30	0	33.8592	-96.5065
93	COLCORD	COLCORD HS	29	13	2	10	2	2	0	0	16	13	2	36.2632	-94.6924
94	COLEMAN	COLEMAN HS	22	13	0	7	0	0	0	2	10	12	0	34.272	-96.4214
95	COLLINSVILLE	COLLINSVILLE HS	182	79	10	61	0	7	0	25	91	91	4	36.3673	-95.8564
96	COMANCHE	COMANCHE HS	45	34	2	7	0	0	2	0	18	27	0	34.3656	-97.9744
97	COMMERCE	COMMERCE HS	41	10	16	13	2	0	0	0	21	20	16	36.9283	-94.8728
98	COPAN	COPAN HS	18	10	4	4	0	0	0	0	9	9	0	36.9167	-95.9196
99	CORDELL	CORDELL HS	57	43	10	0	0	2	0	2	26	31	0	35.2943	-98.9823
100	COVINGTON-DOUGLAS	COVINGTON-DOUGLAS HS	0	0	0	0	0	0	0	0	0	0	0	36.3059	-97.582
101	COWETA	COWETA HS	156	100	2	43	7	2	2	0	75	81	0	35.9501	-95.6348
102	COYLE	COYLE HS	28	4	0	4	4	0	0	16	11	17	0	35.9508	-97.2351
103	CRESCENT	CRESCENT HS	48	31	0	10	7	0	0	0	24	24	0	35.9537	-97.5888
104	CROOKED OAK	CROOKED OAK HS	51	7	28	7	7	0	0	2	19	32	4	35.4534	-97.479
105	CROWDER	CROWDER HS	33	22	0	7	0	0	0	4	15	18	0	35.124	-95.6693
106	CUSHING	CUSHING HS	89	52	0	7	0	2	0	28	39	50	0	35.9837	-96.742
107	CYRIL	CYRIL HS	22	13	0	7	2	0	0	0	13	9	0	34.8986	-98.2095
108	DALE	DALE HS	37	37	0	0	0	0	0	0	17	20	0	35.388	-97.0465
109	DAVENPORT	DAVENPORT HS	27	16	4	7	0	0	0	0	12	15	0	35.7083	-96.7668
110	DAVIDSON	DAVIDSON HS	13	4	7	2	0	0	0	0	6	7	7	34.2375	-99.0783
111	DAVIS	DAVIS HS	53	40	2	7	4	0	0	0	29	24	0	34.4997	-97.1156
112	DEER CREEK	DEER CREEK HS	274	223	10	8	16	10	2	5	135	139	0	35.6833	-97.625
113	DEER CREEK-LAMONT	DEER CREEK-LAMONT HS	12	10	0	2	0	0	0	0	5	7	0	36.6874	-97.562
114	DEPEW	DEPEW HS	16	10	2	2	0	0	0	2	11	5	0	35.7995	-96.5058
115	DEWAR	DEWAR HS	14	4	0	10	0	0	0	0	7	7	0	35.4589	-95.9378
116	DEWEY	DEWEY HS	83	49	0	34	0	0	0	0	40	43	0	36.8037	-95.937
117	DIBBLE	DIBBLE HS	56	37	7	5	0	0	0	7	24	32	4	35.033	-97.6299
118	DICKSON	DICKSON HS	57	49	2	4	2	0	0	0	26	31	0	34.1903	-96.9836
119	DISCOVERY SCHOOLS OF TULSA	DOVE SCIENCE ACADEMY (TULSA)	109	37	43	4	19	2	0	4	61	48	22	36.1558	-95.8874
120	DOVE SCIENCE ACADEMY (CHARTER)	DOVE SCIENCE ACADEMY (OKC)	61	2	43	2	10	4	0	0	28	33	2	35.494	-97.528
121	DOVER	DOVER HS	15	4	7	2	2	0	0	0	4	11	7	35.9837	-97.9081
122	DRUMMOND	DRUMMOND HS	20	16	4	0	0	0	0	0	10	10	0	36.2462	-98.033
123	DRUMRIGHT	DRUMRIGHT HS	34	16	0	16	2	0	0	0	10	24	0	35.9865	-96.6015
124	DUKE	DUKE HS	10	10	0	0	0	0	0	0	5	5	0	34.6635	-99.5658
125	DUNCAN	DUNCAN HS	167	124	16	16	7	2	0	2	79	88	2	34.5122	-97.9719
126	DURANT	DURANT HS	193	103	16	61	2	4	0	7	120	73	7	34.0266	-96.3793
127	EAGLETOWN	EAGLETOWN HS	19	10	0	7	0	0	0	2	10	9	0	34.0628	-94.5449
128	EARLSBORO	EARLSBORO HS	22	16	0	4	2	0	0	0	12	10	0	35.2682	-96.799
129	EDMOND	MEMORIAL HS	416	295	34	13	19	19	2	34	210	206	2	35.6379	-97.4975
130	EDMOND	NORTH HS	519	394	31	19	25	22	0	28	249	270	2	35.6685	-97.4842
131	EDMOND	SANTA FE HS	484	247	58	8	94	40	0	37	228	256	2	35.64	-97.509
132	EL RENO	EL RENO HS	62	28	19	7	4	2	0	2	25	37	7	35.5335	-97.9555
133	ELDORADO	ELDORADO HS	11	7	4	0	0	0	0	0	4	7	10	34.4747	-99.6522
134	ELGIN	ELGIN HS	135	106	10	5	7	2	0	5	68	67	0	34.7797	-98.2875
135	ELK CITY	ELK CITY HS	79	52	16	2	7	0	0	2	35	44	4	35.4207	-99.4357
136	ELMORE CITY-PERNELL	SENIOR HS	27	25	2	0	0	0	0	0	22	5	0	34.6239	-97.3938
137	EMPIRE	EMPIRE HS	20	16	2	2	0	0	0	0	8	12	2	34.4639	-98.0002
138	ENID	ENID HS	361	202	73	25	28	4	22	7	176	185	10	36.3883	-97.8859
